question_id,category,difficulty,sensitive_info_level,iteration,method,pred_sql,gold_sql,ex,pred_rows,gold_rows,latency_ms,api_error,exec_error
UW006,사기탐지,moderate,high,1,text2sql,"SELECT 
    (COUNT(CASE WHEN contract_status = '무효' THEN 1 END) * 100.0 / COUNT(*)) AS cancellation_rate
FROM 
    contracts
WHERE 
    termination_date IS NOT NULL 
    AND JULIANDAY(termination_date) - JULIANDAY(coverage_start_date) <= 5 * 365;","SELECT ROUND(COUNT(CASE WHEN CAST(JULIANDAY(termination_date) - JULIANDAY(coverage_start_date) AS INTEGER) <= 1825 THEN 1 END) * 100.0 / COUNT(*), 2) AS pct FROM contracts WHERE cancellation_reason = '사기'",1,1,1,1371.38,,
UW006,사기탐지,moderate,high,2,text2sql,"SELECT 
    (COUNT(CASE WHEN contract_status = '무효' THEN 1 END) * 100.0 / COUNT(*)) AS cancellation_rate
FROM 
    contracts
WHERE 
    termination_date IS NOT NULL 
    AND JULIANDAY(termination_date) - JULIANDAY(coverage_start_date) <= 5 * 365;","SELECT ROUND(COUNT(CASE WHEN CAST(JULIANDAY(termination_date) - JULIANDAY(coverage_start_date) AS INTEGER) <= 1825 THEN 1 END) * 100.0 / COUNT(*), 2) AS pct FROM contracts WHERE cancellation_reason = '사기'",1,1,1,1188.92,,
UW006,사기탐지,moderate,high,3,text2sql,"SELECT 
    COUNT(*) * 100.0 / (SELECT COUNT(*) FROM contracts WHERE contract_status = 'terminated') AS cancellation_rate
FROM 
    contracts
WHERE 
    contract_status = 'terminated' 
    AND termination_date IS NOT NULL 
    AND JULIANDAY(termination_date) - JULIANDAY(coverage_start_date) <= 5 * 365;","SELECT ROUND(COUNT(CASE WHEN CAST(JULIANDAY(termination_date) - JULIANDAY(coverage_start_date) AS INTEGER) <= 1825 THEN 1 END) * 100.0 / COUNT(*), 2) AS pct FROM contracts WHERE cancellation_reason = '사기'",0,1,1,2366.28,,
UW007,계약심사,simple,medium,1,text2sql,"SELECT 
    SUM(CASE WHEN decision_type = '거절' THEN 1 ELSE 0 END) AS rejected_count,
    SUM(CASE WHEN decision_type = '조건부승낙' THEN 1 ELSE 0 END) AS conditional_accepted_count
FROM underwriting_decisions
WHERE contract_id IN (SELECT contract_id FROM contracts WHERE insured_id NOT IN (SELECT insured_id FROM insured));","SELECT decision_type, COUNT(*) AS cnt FROM underwriting_decisions WHERE decision_type IN ('거절', '조건부승낙') GROUP BY decision_type",0,1,2,1089.59,,
UW007,계약심사,simple,medium,2,text2sql,"SELECT 
    SUM(CASE WHEN decision_type = '거절' THEN 1 ELSE 0 END) AS rejected_count,
    SUM(CASE WHEN decision_type = '조건부승낙' THEN 1 ELSE 0 END) AS conditional_accepted_count
FROM underwriting_decisions
WHERE contract_id IN (SELECT contract_id FROM contracts WHERE insured_id NOT IN (SELECT insured_id FROM insured));","SELECT decision_type, COUNT(*) AS cnt FROM underwriting_decisions WHERE decision_type IN ('거절', '조건부승낙') GROUP BY decision_type",0,1,2,1136.8,,
UW007,계약심사,simple,medium,3,text2sql,"SELECT 
    SUM(CASE WHEN decision_type = '거절' THEN 1 ELSE 0 END) AS rejected_count,
    SUM(CASE WHEN decision_type = '조건부승낙' THEN 1 ELSE 0 END) AS conditional_accepted_count
FROM underwriting_decisions
WHERE contract_id IN (SELECT contract_id FROM contracts WHERE insured_id NOT IN (SELECT insured_id FROM insured));","SELECT decision_type, COUNT(*) AS cnt FROM underwriting_decisions WHERE decision_type IN ('거절', '조건부승낙') GROUP BY decision_type",0,1,2,1562.3,,
UW008,보험료산출,simple,medium,1,text2sql,"SELECT AVG(premium_surcharge_rate) AS average_surcharge_rate
FROM underwriting_decisions
WHERE decision_type = '승낙' AND condition_type = '보험료할증';",SELECT AVG(premium_surcharge_rate) FROM underwriting_decisions WHERE decision_type = '조건부승낙' AND condition_type = '보험료할증',0,1,1,1289.5,,
UW008,보험료산출,simple,medium,2,text2sql,"SELECT AVG(premium_surcharge_rate) AS average_surcharge_rate 
FROM underwriting_decisions 
WHERE decision_type = '승낙';",SELECT AVG(premium_surcharge_rate) FROM underwriting_decisions WHERE decision_type = '조건부승낙' AND condition_type = '보험료할증',0,1,1,729.26,,
UW008,보험료산출,simple,medium,3,text2sql,"SELECT AVG(premium_surcharge_rate) AS average_surcharge_rate 
FROM underwriting_decisions 
WHERE decision_type = '승낙';",SELECT AVG(premium_surcharge_rate) FROM underwriting_decisions WHERE decision_type = '조건부승낙' AND condition_type = '보험료할증',0,1,1,803.83,,
UW009,계약심사,moderate,medium,1,text2sql,"SELECT exclusion_type, COUNT(*) AS count
FROM contract_exclusions
WHERE contract_id IN (
    SELECT contract_id
    FROM underwriting_decisions
    WHERE decision_type = '승낙' AND condition_type = '보장제외'
)
GROUP BY exclusion_type;","SELECT exclusion_type, COUNT(*) AS cnt FROM contract_exclusions GROUP BY exclusion_type ORDER BY cnt DESC",0,0,4,2165.36,,
UW009,계약심사,moderate,medium,2,text2sql,"SELECT exclusion_type, COUNT(*) AS excluded_count
FROM contract_exclusions
WHERE contract_id IN (
    SELECT contract_id
    FROM underwriting_decisions
    WHERE decision_type = '승낙' AND condition_type = '보장제외'
)
GROUP BY exclusion_type;","SELECT exclusion_type, COUNT(*) AS cnt FROM contract_exclusions GROUP BY exclusion_type ORDER BY cnt DESC",0,0,4,1077.15,,
UW009,계약심사,moderate,medium,3,text2sql,"SELECT exclusion_type, COUNT(*) AS excluded_count
FROM contract_exclusions
WHERE contract_id IN (
    SELECT contract_id
    FROM underwriting_decisions
    WHERE decision_type = '승낙' AND condition_type = '보장제외'
)
GROUP BY exclusion_type;","SELECT exclusion_type, COUNT(*) AS cnt FROM contract_exclusions GROUP BY exclusion_type ORDER BY cnt DESC",0,0,4,1187.47,,
UW010,계약심사,moderate,high,1,text2sql,"SELECT COUNT(*) 
FROM contracts 
WHERE contract_type = '진단계약' 
AND health_exam_completed = 0 
AND contract_id IN (
    SELECT contract_id 
    FROM claims 
    WHERE claim_status = '지급거절'
);",SELECT COUNT(*) FROM claims c JOIN contracts ct ON c.contract_id = ct.contract_id WHERE ct.contract_type = '진단계약' AND ct.health_exam_completed = 0 AND c.claim_status = '지급거절',1,1,1,939.25,,
UW010,계약심사,moderate,high,2,text2sql,"SELECT COUNT(*) 
FROM contracts 
WHERE contract_type = '진단계약' 
AND health_exam_completed = 0 
AND contract_id IN (
    SELECT contract_id 
    FROM claims 
    WHERE claim_status = '지급거절'
);",SELECT COUNT(*) FROM claims c JOIN contracts ct ON c.contract_id = ct.contract_id WHERE ct.contract_type = '진단계약' AND ct.health_exam_completed = 0 AND c.claim_status = '지급거절',1,1,1,1518.79,,
UW010,계약심사,moderate,high,3,text2sql,"SELECT COUNT(*) 
FROM contracts 
WHERE contract_type = '진단계약' 
AND health_exam_completed = 0 
AND contract_id IN (
    SELECT contract_id 
    FROM claims 
    WHERE claim_status = '지급거절'
);",SELECT COUNT(*) FROM claims c JOIN contracts ct ON c.contract_id = ct.contract_id WHERE ct.contract_type = '진단계약' AND ct.health_exam_completed = 0 AND c.claim_status = '지급거절',1,1,1,1338.93,,
UW011,보험금지급,moderate,high,1,text2sql,"SELECT COUNT(*) 
FROM claims 
WHERE claim_type = '사망보험금' 
AND claim_status = '지급거절' 
AND claim_date <= DATE(coverage_start_date, '+2 years');",SELECT COUNT(*) FROM claims cl JOIN contracts ct ON cl.contract_id = ct.contract_id WHERE cl.claim_type = '사망보험금' AND cl.death_cause = '자살' AND CAST(JULIANDAY(cl.claim_date) - JULIANDAY(ct.coverage_start_date) AS INTEGER) < 730 AND cl.claim_status = '지급거절',0,0,1,922.36,,pred_sql 오류: no such column: coverage_start_date
UW011,보험금지급,moderate,high,2,text2sql,"SELECT COUNT(*) 
FROM claims 
WHERE claim_type = '사망보험금' 
AND claim_status = '지급거절' 
AND claim_date <= DATE(coverage_start_date, '+2 years');",SELECT COUNT(*) FROM claims cl JOIN contracts ct ON cl.contract_id = ct.contract_id WHERE cl.claim_type = '사망보험금' AND cl.death_cause = '자살' AND CAST(JULIANDAY(cl.claim_date) - JULIANDAY(ct.coverage_start_date) AS INTEGER) < 730 AND cl.claim_status = '지급거절',0,0,1,966.8,,pred_sql 오류: no such column: coverage_start_date
UW011,보험금지급,moderate,high,3,text2sql,"SELECT COUNT(*) 
FROM claims 
WHERE claim_type = '사망보험금' 
AND claim_status = '지급거절' 
AND claim_date <= DATE(coverage_start_date, '+2 years');",SELECT COUNT(*) FROM claims cl JOIN contracts ct ON cl.contract_id = ct.contract_id WHERE cl.claim_type = '사망보험금' AND cl.death_cause = '자살' AND CAST(JULIANDAY(cl.claim_date) - JULIANDAY(ct.coverage_start_date) AS INTEGER) < 730 AND cl.claim_status = '지급거절',0,0,1,949.94,,pred_sql 오류: no such column: coverage_start_date
UW012,보험금지급,moderate,medium,1,text2sql,"SELECT COUNT(*) AS delayed_claims_count, AVG(business_days_to_payment) AS average_delay_days
FROM claims
WHERE investigation_consent = 0;","SELECT COUNT(*) AS cnt, AVG(CAST(JULIANDAY(actual_payment_date) - JULIANDAY(claim_date) AS INTEGER)) AS avg_delay_days FROM claims WHERE investigation_consent = 0 AND actual_payment_date IS NOT NULL",0,1,1,7868.0,,
UW012,보험금지급,moderate,medium,2,text2sql,"SELECT COUNT(*) AS delayed_count, AVG(missing_period_days) AS average_delay_days
FROM claims
WHERE investigation_consent = 0;","SELECT COUNT(*) AS cnt, AVG(CAST(JULIANDAY(actual_payment_date) - JULIANDAY(claim_date) AS INTEGER)) AS avg_delay_days FROM claims WHERE investigation_consent = 0 AND actual_payment_date IS NOT NULL",0,1,1,1398.6,,
UW012,보험금지급,moderate,medium,3,text2sql,"SELECT COUNT(*) AS delayed_claims_count, AVG(business_days_to_payment) AS average_delay_days
FROM claims
WHERE investigation_consent = 0;","SELECT COUNT(*) AS cnt, AVG(CAST(JULIANDAY(actual_payment_date) - JULIANDAY(claim_date) AS INTEGER)) AS avg_delay_days FROM claims WHERE investigation_consent = 0 AND actual_payment_date IS NOT NULL",0,1,1,1922.97,,
UW013,장해리스크,moderate,high,1,text2sql,"SELECT COUNT(*) 
FROM claims 
WHERE claim_type = '장해보험금' 
AND disability_payment_rate IS NULL 
AND JULIANDAY('now') - JULIANDAY(claim_date) <= 180;",SELECT COUNT(*) FROM claims WHERE claim_type = '장해보험금' AND disability_rate_fixed_days > 180,0,1,1,1178.22,,
UW013,장해리스크,moderate,high,2,text2sql,"SELECT COUNT(*) 
FROM claims 
WHERE claim_type = '장해보험금' 
AND disability_payment_rate IS NULL 
AND JULIANDAY('now') - JULIANDAY(claim_date) <= 180;",SELECT COUNT(*) FROM claims WHERE claim_type = '장해보험금' AND disability_rate_fixed_days > 180,0,1,1,946.58,,
UW013,장해리스크,moderate,high,3,text2sql,"SELECT COUNT(*) 
FROM claims 
WHERE claim_type = '장해보험금' 
AND disability_payment_rate IS NOT NULL 
AND disability_payment_rate > 0 
AND JULIANDAY('now') - JULIANDAY(claim_date) <= 180;",SELECT COUNT(*) FROM claims WHERE claim_type = '장해보험금' AND disability_rate_fixed_days > 180,0,1,1,1441.76,,
UW014,장해리스크,simple,high,1,text2sql,"SELECT COUNT(*) AS serious_disability_count, AVG(paid_amount) AS average_payment_amount
FROM claims
WHERE disability_payment_rate = 100;","SELECT COUNT(*) AS cnt, AVG(paid_amount) AS avg_paid FROM claims WHERE disability_payment_rate = 100 AND claim_type = '장해보험금'",1,1,1,1003.72,,
UW014,장해리스크,simple,high,2,text2sql,"SELECT COUNT(*) AS serious_disability_count, AVG(paid_amount) AS average_payment
FROM claims
WHERE disability_payment_rate = 100;","SELECT COUNT(*) AS cnt, AVG(paid_amount) AS avg_paid FROM claims WHERE disability_payment_rate = 100 AND claim_type = '장해보험금'",1,1,1,907.6,,
UW014,장해리스크,simple,high,3,text2sql,"SELECT COUNT(*) AS serious_disability_count, AVG(paid_amount) AS average_payment
FROM claims
WHERE disability_payment_rate = 100;","SELECT COUNT(*) AS cnt, AVG(paid_amount) AS avg_paid FROM claims WHERE disability_payment_rate = 100 AND claim_type = '장해보험금'",1,1,1,779.22,,
UW015,장해리스크,simple,high,1,text2sql,"SELECT SUM(paid_amount) AS total_claim_amount
FROM claims
WHERE disability_type = '척추 장해' AND disability_subtype = '심한 추간판탈출증(디스크)';",SELECT SUM(paid_amount) FROM claims WHERE disability_type = '심한추간판탈출증' AND claim_type = '장해보험금',0,1,1,849.03,,
UW015,장해리스크,simple,high,2,text2sql,"SELECT SUM(paid_amount) AS total_claim_amount
FROM claims
WHERE disability_type = '척추 장해' AND disability_subtype = '심한 추간판탈출증(디스크)';",SELECT SUM(paid_amount) FROM claims WHERE disability_type = '심한추간판탈출증' AND claim_type = '장해보험금',0,1,1,1345.49,,
UW015,장해리스크,simple,high,3,text2sql,"SELECT SUM(paid_amount) AS total_claim_amount
FROM claims
WHERE disability_type = '척추 장해' AND disability_subtype = '심한 추간판탈출증(디스크)';",SELECT SUM(paid_amount) FROM claims WHERE disability_type = '심한추간판탈출증' AND claim_type = '장해보험금',0,1,1,1295.29,,
UW016,장해리스크,moderate,high,1,text2sql,"SELECT disability_type, COUNT(*) AS claim_count
FROM claims
WHERE disability_body_part = '눈'
GROUP BY disability_type;","SELECT disability_subtype, COUNT(*) AS cnt, SUM(paid_amount) AS total FROM claims WHERE disability_body_part = '눈' AND claim_type = '장해보험금' GROUP BY disability_subtype ORDER BY cnt DESC",0,0,1,1039.73,,pred_sql 오류: '<' not supported between instances of 'str' and 'NoneType'
UW016,장해리스크,moderate,high,2,text2sql,"SELECT disability_type, COUNT(*) AS claim_count
FROM claims
WHERE disability_body_part = '눈'
GROUP BY disability_type;","SELECT disability_subtype, COUNT(*) AS cnt, SUM(paid_amount) AS total FROM claims WHERE disability_body_part = '눈' AND claim_type = '장해보험금' GROUP BY disability_subtype ORDER BY cnt DESC",0,0,1,994.19,,pred_sql 오류: '<' not supported between instances of 'str' and 'NoneType'
UW016,장해리스크,moderate,high,3,text2sql,"SELECT disability_type, COUNT(*) AS claim_count
FROM claims
WHERE disability_body_part = '눈'
GROUP BY disability_type;","SELECT disability_subtype, COUNT(*) AS cnt, SUM(paid_amount) AS total FROM claims WHERE disability_body_part = '눈' AND claim_type = '장해보험금' GROUP BY disability_subtype ORDER BY cnt DESC",0,0,1,881.19,,pred_sql 오류: '<' not supported between instances of 'str' and 'NoneType'
UW017,장해리스크,moderate,high,1,text2sql,"SELECT COUNT(*) 
FROM claims 
WHERE disability_type = '신경계·정신행동' AND cdr_score >= 3;","SELECT cdr_score, COUNT(*) AS cnt FROM claims WHERE disability_type = '치매' AND cdr_score >= 3 GROUP BY cdr_score ORDER BY cdr_score",0,1,2,1007.03,,
UW017,장해리스크,moderate,high,2,text2sql,"SELECT COUNT(*) 
FROM claims 
WHERE disability_type = '신경계·정신행동' AND cdr_score >= 3;","SELECT cdr_score, COUNT(*) AS cnt FROM claims WHERE disability_type = '치매' AND cdr_score >= 3 GROUP BY cdr_score ORDER BY cdr_score",0,1,2,941.58,,
UW017,장해리스크,moderate,high,3,text2sql,"SELECT COUNT(*) 
FROM claims 
WHERE disability_type = '신경계·정신행동' AND cdr_score >= 3;","SELECT cdr_score, COUNT(*) AS cnt FROM claims WHERE disability_type = '치매' AND cdr_score >= 3 GROUP BY cdr_score ORDER BY cdr_score",0,1,2,942.2,,
UW018,장해리스크,simple,medium,1,text2sql,"SELECT 
    (COUNT(CASE WHEN claim_type = '장해보험금' THEN 1 END) * 100.0 / COUNT(*)) AS disability_claim_ratio
FROM 
    claims
JOIN 
    insured ON claims.insured_id = insured.insured_id
WHERE 
    insured.insured_age >= 40;","SELECT ROUND(COUNT(CASE WHEN ct.insurance_age >= 40 THEN 1 END) * 100.0 / COUNT(*), 2) AS pct FROM claims cl JOIN contracts ct ON cl.contract_id = ct.contract_id WHERE cl.claim_type = '장해보험금'",0,1,1,1662.02,,
UW018,장해리스크,simple,medium,2,text2sql,"SELECT 
    (COUNT(CASE WHEN claim_type = '장해보험금' THEN 1 END) * 100.0 / COUNT(*)) AS disability_claim_ratio
FROM 
    claims
JOIN 
    insured ON claims.insured_id = insured.insured_id
WHERE 
    insured.insured_age >= 40;","SELECT ROUND(COUNT(CASE WHEN ct.insurance_age >= 40 THEN 1 END) * 100.0 / COUNT(*), 2) AS pct FROM claims cl JOIN contracts ct ON cl.contract_id = ct.contract_id WHERE cl.claim_type = '장해보험금'",0,1,1,1220.79,,
UW018,장해리스크,simple,medium,3,text2sql,"SELECT 
    (COUNT(CASE WHEN claim_type = '장해보험금' THEN 1 END) * 100.0 / COUNT(*)) AS disability_claim_ratio
FROM 
    claims
JOIN 
    insured ON claims.insured_id = insured.insured_id
WHERE 
    insured.insured_age >= 40;","SELECT ROUND(COUNT(CASE WHEN ct.insurance_age >= 40 THEN 1 END) * 100.0 / COUNT(*), 2) AS pct FROM claims cl JOIN contracts ct ON cl.contract_id = ct.contract_id WHERE cl.claim_type = '장해보험금'",0,1,1,1133.14,,
UW019,계약심사,simple,high,1,text2sql,"SELECT COUNT(*) AS invalid_contracts_count
FROM contracts
WHERE coverage_type = '사망' 
AND insured_age < 15 
AND contract_status = '무효';",SELECT COUNT(*) FROM contracts WHERE insured_age_at_contract < 15 AND coverage_type = '사망' AND contract_status = '무효',0,0,1,1142.41,,pred_sql 오류: no such column: insured_age
UW019,계약심사,simple,high,2,text2sql,"SELECT COUNT(*) AS invalid_claims_count
FROM contracts
WHERE coverage_type = '사망' 
AND insured_age < 15 
AND contract_status = '무효';",SELECT COUNT(*) FROM contracts WHERE insured_age_at_contract < 15 AND coverage_type = '사망' AND contract_status = '무효',0,0,1,3905.52,,pred_sql 오류: no such column: insured_age
UW019,계약심사,simple,high,3,text2sql,"SELECT COUNT(*) AS invalid_claims_count
FROM contracts
WHERE coverage_type = '사망' 
AND insured_age < 15 
AND contract_status = '무효';",SELECT COUNT(*) FROM contracts WHERE insured_age_at_contract < 15 AND coverage_type = '사망' AND contract_status = '무효',0,0,1,913.08,,pred_sql 오류: no such column: insured_age
UW020,계약심사,simple,medium,1,text2sql,"SELECT COUNT(*) 
FROM contracts 
WHERE contract_status = '무효' 
AND insured_written_consent = 0 
AND contract_id IN (
    SELECT contract_id 
    FROM claims 
    WHERE claim_type = '사망보험금'
);",SELECT COUNT(*) FROM contracts WHERE third_party_death_coverage = 1 AND insured_written_consent = 0 AND contract_status = '무효',1,1,1,1056.2,,
UW020,계약심사,simple,medium,2,text2sql,"SELECT COUNT(*) 
FROM contracts 
WHERE contract_status = '무효' 
AND insured_written_consent = 0 
AND contract_id IN (
    SELECT contract_id 
    FROM claims 
    WHERE claim_type = '사망보험금'
);",SELECT COUNT(*) FROM contracts WHERE third_party_death_coverage = 1 AND insured_written_consent = 0 AND contract_status = '무효',1,1,1,1371.18,,
UW020,계약심사,simple,medium,3,text2sql,"SELECT COUNT(*) 
FROM contracts 
WHERE contract_status = '무효' 
AND insured_written_consent = 0 
AND contract_id IN (
    SELECT contract_id 
    FROM claims 
    WHERE claim_type = '사망보험금'
);",SELECT COUNT(*) FROM contracts WHERE third_party_death_coverage = 1 AND insured_written_consent = 0 AND contract_status = '무효',1,1,1,1336.43,,
UW021,계약관리,simple,low,1,text2sql,"SELECT COUNT(*) 
FROM contract_revivals 
WHERE revival_reason = '부활' 
AND contract_id IN (
    SELECT contract_id 
    FROM contracts 
    WHERE termination_reason = '납입연체' 
    AND termination_date >= DATE('now', '-3 years')
);",SELECT COUNT(*) FROM contract_revivals WHERE CAST(JULIANDAY(revival_application_date) - JULIANDAY(termination_date) AS INTEGER) <= 1095,0,1,1,1157.42,,
UW021,계약관리,simple,low,2,text2sql,"SELECT COUNT(*) 
FROM contract_revivals 
WHERE revival_application_date IS NOT NULL 
AND contract_id IN (
    SELECT contract_id 
    FROM contracts 
    WHERE termination_reason = '납입연체' 
    AND termination_date >= DATE('now', '-3 years')
);",SELECT COUNT(*) FROM contract_revivals WHERE CAST(JULIANDAY(revival_application_date) - JULIANDAY(termination_date) AS INTEGER) <= 1095,0,1,1,1133.7,,
UW021,계약관리,simple,low,3,text2sql,"SELECT COUNT(*) AS revival_count
FROM contract_revivals
WHERE revival_reason = '부활'
AND contract_id IN (
    SELECT contract_id
    FROM contracts
    WHERE termination_reason = '납입연체'
    AND termination_date >= DATE('now', '-3 years')
);",SELECT COUNT(*) FROM contract_revivals WHERE CAST(JULIANDAY(revival_application_date) - JULIANDAY(termination_date) AS INTEGER) <= 1095,0,1,1,4791.14,,
UW022,계약관리,moderate,medium,1,text2sql,"SELECT COUNT(*) AS contract_count, AVG(loan_balance) AS average_loan_amount
FROM asset_loan_classifications
WHERE loan_balance >= (SELECT 0.9 * surrender_value FROM contracts WHERE contracts.contract_id = asset_loan_classifications.contract_id);","SELECT COUNT(*) AS cnt, AVG(loan_balance) AS avg_loan FROM contracts WHERE loan_balance >= surrender_value * 0.9 AND contract_status = '유효'",0,1,1,1212.84,,
UW022,계약관리,moderate,medium,2,text2sql,"SELECT COUNT(*) AS contract_count, AVG(loan_balance) AS average_loan_amount
FROM asset_loan_classifications
WHERE loan_balance >= (SELECT 0.9 * surrender_value FROM contracts WHERE contracts.contract_id = asset_loan_classifications.contract_id);","SELECT COUNT(*) AS cnt, AVG(loan_balance) AS avg_loan FROM contracts WHERE loan_balance >= surrender_value * 0.9 AND contract_status = '유효'",0,1,1,1335.44,,
UW022,계약관리,moderate,medium,3,text2sql,"SELECT COUNT(*) AS contract_count, AVG(loan_balance) AS average_loan_amount
FROM asset_loan_classifications
WHERE loan_balance >= (SELECT AVG(surrender_value) * 0.9 FROM contracts);","SELECT COUNT(*) AS cnt, AVG(loan_balance) AS avg_loan FROM contracts WHERE loan_balance >= surrender_value * 0.9 AND contract_status = '유효'",0,1,1,1301.81,,
UW023,보험금지급,simple,low,1,text2sql,"SELECT COUNT(*) 
FROM claims 
WHERE claim_status = '소멸시효완성' 
AND JULIANDAY('now') - JULIANDAY(claim_date) > 365 * 3;",SELECT COUNT(*) FROM claims WHERE claim_status = '소멸시효완성' AND CAST(JULIANDAY(claim_expiry_date) - JULIANDAY(insurance_event_date) AS INTEGER) <= 1095,0,1,1,1081.33,,
UW023,보험금지급,simple,low,2,text2sql,"SELECT COUNT(*) AS expired_claims_count
FROM claims
WHERE claim_status = '소멸시효완성' AND 
      JULIANDAY('now') - JULIANDAY(claim_date) > 365 * 3;",SELECT COUNT(*) FROM claims WHERE claim_status = '소멸시효완성' AND CAST(JULIANDAY(claim_expiry_date) - JULIANDAY(insurance_event_date) AS INTEGER) <= 1095,0,1,1,2045.69,,
